"1602.08516","Gregory Horndeski","Gregory W. Horndeski","The Relationship Between Inertial and Gravitational Mass","9 pages. Additional references have been added, and various arguments
  have been strengthened",,,,"physics.gen-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  I will argue that the inertial mass is greater than the gravitational mass
for all objects which are held together primarily by gravitational forces.
Thus, for celestial objects, like planets, stars and galaxies, their inertial
mass is greater than their gravitational mass. The analysis used to arrive at
this conclusion shows that there should, in principle, exist classical objects
with non-zero inertial mass and vanishing gravitational mass. Implications for
Quantum Gravity and Quantum Cosmology, are briefly discussed.
","[{""version"":""v1"",""created"":""Sun, 28 Feb 2016 21:31:15 GMT""},{""version"":""v2"",""created"":""Sun, 6 Mar 2016 19:37:44 GMT""}]","2016-03-08"
"1602.08734","Tim Salimans","Tim Salimans","A Structured Variational Auto-encoder for Learning Deep Hierarchies of
  Sparse Features",,,,,"stat.ML cs.LG stat.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this note we present a generative model of natural images consisting of a
deep hierarchy of layers of latent random variables, each of which follows a
new type of distribution that we call rectified Gaussian. These rectified
Gaussian units allow spike-and-slab type sparsity, while retaining the
differentiability necessary for efficient stochastic gradient variational
inference. To learn the parameters of the new model, we approximate the
posterior of the latent variables with a variational auto-encoder. Rather than
making the usual mean-field assumption however, the encoder parameterizes a new
type of structured variational approximation that retains the prior
dependencies of the generative model. Using this structured posterior
approximation, we are able to perform joint training of deep models with many
layers of latent random variables, without having to resort to stacking or
other layerwise training procedures.
","[{""version"":""v1"",""created"":""Sun, 28 Feb 2016 16:10:40 GMT""}]","2016-03-01"
"1602.08735","Hosam AboElFotoh Dr.","Qadha'a AlEnezi, Hosam AboElFotoh, Bader AlBdaiwi and Mohammad Ali
  AlMulla","Heuristics for the Variable Sized Bin Packing Problem Using a Hybrid
  P-System and CUDA Architecture","20 pages; This paper is extracted from M.Sc. Thesis: Solution of the
  Variable Sized Bin Packing Problem using the P System and Cuda Architecture,
  by Qadhaa Al-Enezi, submitted March 2015, Computer Sc. Dept. Kuwait
  University, Supervised by Hosam AboElFotoh and Bader AlBdaiwi",,,,"cs.DC","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The Variable Sized Bin Packing Problem has a wide range of application areas
including packing, scheduling, and manufacturing. Given a list of items and
variable sized bin types, the objective is to minimize the total size of the
used bins. This problem is known to be NP-hard. In this article, we present two
new heuristics for solving the problem using a new variation of P systems with
active membranes, which we call a hybrid P system, implemented in CUDA. Our
hybrid P-system model allows using the polarity and labels of membranes to
represent object properties which results in reducing the complexity of
implementing the P-system. We examine the performance of the two heuristics,
and compare the results with those of other known algorithms. The numerical
results show that good solutions for large instances (10000 items) of this
problem could be obtained in a very short time (seconds) using our CUDA
simulator.
","[{""version"":""v1"",""created"":""Sun, 28 Feb 2016 16:25:06 GMT""},{""version"":""v2"",""created"":""Tue, 1 Mar 2016 10:40:20 GMT""}]","2016-03-02"
"1602.08736","Alex Dainiak","Alexei Dmitriev, Alex Dainiak","Uniqueness of the extremal graph in the problem of maximizing the number
  of independent sets in regular graphs","in Russian",,,,"math.CO cs.DM","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The main purpose of this paper is to prove the uniqueness of a graph
attaining the maximum of the number of independent sets over all $k$-regular
graphs on $n$ vertices for $2k|n$.
","[{""version"":""v1"",""created"":""Sun, 28 Feb 2016 16:26:04 GMT""}]","2016-03-01"
"1602.08737","Tatyana Shcherbina","Mariya Shcherbina, Tatyana Shcherbina","Characteristic polynomials for 1D random band matrices from the
  localization side","30 p",,"10.1007/s00220-017-2849-2",,"math-ph math.MP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study the special case of $n\times n$ 1D Gaussian Hermitian random band
matrices, when the covariance of the elements is determined by
$J=(-W^2\triangle+1)^{-1}$. Assuming that the band width $W\ll \sqrt{n}$, we
prove that the limit of the normalized second mixed moment of characteristic
polynomials (as $W, n\to \infty$) is equal to one, and so it does not coincides
with those for GUE. This complements the previous result of T. Shcherbina and
proves the expected crossover for 1D Hermitian random band matrices at $W\sim
\sqrt{n}$ on the level of characteristic polynomials.
","[{""version"":""v1"",""created"":""Sun, 28 Feb 2016 16:26:27 GMT""}]","2017-04-05"
"1602.08738","Asya Aminova","Asya V. Aminova, Dieter R. Brill, Pavel I. Chumarov and Aleksandr Yu.
  Shemakhin","On the cylindrically symmetric wormholes WhCR^e: The motion of test
  particles","16 pages, 6 figures","Phys. Rev. D 94, 024027 (2016)","10.1103/PhysRevD.94.024027",,"gr-qc","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this article we partially implement the program outlined in the previous
paper of the authors [A. V. Aminova and P. I. Chumarov, Phys. Rev. D 88, 044005
(2013)]. The program owes its origins to the following comment in paper [M.
Cveti\v{c} and D. Youm, Nucl. Phys. B, 438, 182 (1995), Addendum-ibid. 449,146
(1995)], where a class of static spherically symmetric solutions in
$(4+n)$-dimensional Kaluza--Klein theory was studied: ""...We suspect that the
same thing [as for spherical symmetry] will happen for axially symmetric
stationary configurations, but it remains to be proven"". We study the radial
and non-radial motion of test particles in the cylindrically symmetric
wormholes found in the authors'paper of type $\rm WhCR^e$ in 6-dimensional
reduced Kaluza--Klein theory with Abelian gauge field and two dilaton fields,
with particular attention to the extent to which the wormhole is traversable.
In the case of non-radial motion along a hypersurface z=const we show that, as
in the Kerr and Schwarzschild geometries, we should distinguish between orbits
with impact parameters greater resp. less than a certain critical value $D_c$,
which corresponds to the unstable circular orbit of radius $u_c$ $(r_c)$. For
$D^2>D_c^2$ there are two kinds of orbits: orbits of the first kind arrive from
infinity and have pericenter distances greater than $u_c$, whereas orbits of
the second kind have apocenter distances less than $u_c$ and terminate at the
singularity at $u=-\infty$ $(r=0)$. For $D=D_c$ orbits of the first and second
kinds merge and both orbits spiral an infinite number of times toward the
unstable circular orbit $u=u_c$. For $D^2<D_c^2$ we have only orbits of one
kind: starting at infinity, they cross the wormhole throat and terminate at the
singularity.
","[{""version"":""v1"",""created"":""Sun, 28 Feb 2016 16:30:25 GMT""}]","2016-07-27"
"1602.08739","David Spivak","Joachim Kock and David I. Spivak","Homotopy composition of cospans","4 pages. In this version: A more direct introduction and a additional
  few details on the tubular neighborhood argument. Final version, to appear in
  Commun. Contemp. Math","Commun. Contemp. Math. 19 (2017), 1650047","10.1142/S0219199716500474",,"math.CT cs.LO math.AT quant-ph","http://creativecommons.org/licenses/by/4.0/","  It is well known that the category of finite sets and cospans, composed by
pushout, contains the universal {\em special} commutative Frobenius algebra. In
this note we observe that the same construction yields also general commutative
Frobenius algebras, if just the pushouts are changed to homotopy pushouts.
","[{""version"":""v1"",""created"":""Sun, 28 Feb 2016 16:54:12 GMT""},{""version"":""v2"",""created"":""Wed, 27 Apr 2016 13:39:45 GMT""}]","2021-03-31"
"1602.08740","Jakub Gismatullin dr","\'Swiatos{\l}aw R. Gal and Jakub Gismatullin, Nir Lazarovich","Uniform symplicity of groups with proximal action","23 pages, appendix by Nir Lazarovich, corrected version","Trans. Amer. Math. Soc. Ser. B 4 (2017), 110-130","10.1090/btran/18",,"math.GR math.DS math.LO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We prove that groups acting boundedly and order-primitively on linear orders
or acting extremly proximality on a Cantor set (the class including various
Higman-Thomson groups and Neretin groups of almost automorphisms of regular
trees, also called groups of spheromorphisms) are uniformly simple. Explicit
bounds are provided.
","[{""version"":""v1"",""created"":""Sun, 28 Feb 2016 16:56:52 GMT""},{""version"":""v2"",""created"":""Tue, 28 Feb 2017 22:23:21 GMT""}]","2018-05-23"
"1602.08741","Nikolay N. Vasiliev","Nikolay N. Vasiliev","Gibberish Semantics: How Good is Russian Twitter in Word Semantic
  Similarity Task?",,,,,"cs.CL","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The most studied and most successful language models were developed and
evaluated mainly for English and other close European languages, such as
French, German, etc. It is important to study applicability of these models to
other languages. The use of vector space models for Russian was recently
studied for multiple corpora, such as Wikipedia, RuWac, lib.ru. These models
were evaluated against word semantic similarity task. For our knowledge Twitter
was not considered as a corpus for this task, with this work we fill the gap.
Results for vectors trained on Twitter corpus are comparable in accuracy with
other single-corpus trained models, although the best performance is currently
achieved by combination of multiple corpora.
","[{""version"":""v1"",""created"":""Sun, 28 Feb 2016 16:58:01 GMT""}]","2016-03-01"
"1602.08742","James Loach","James C. Loach and Jinzhao Wang","Optimizing the Learning Order of Chinese Characters Using a Novel
  Topological Sort Algorithm",,,"10.1371/journal.pone.0163623",,"cs.CL physics.soc-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present a novel algorithm for optimizing the order in which Chinese
characters are learned, one that incorporates the benefits of learning them in
order of usage frequency and in order of their hierarchal structural
relationships. We show that our work outperforms previously published orders
and algorithms. Our algorithm is applicable to any scheduling task where nodes
have intrinsic differences in importance and must be visited in topological
order.
","[{""version"":""v1"",""created"":""Sun, 28 Feb 2016 16:59:46 GMT""},{""version"":""v2"",""created"":""Tue, 12 Jul 2016 05:08:04 GMT""},{""version"":""v3"",""created"":""Sat, 24 Sep 2016 17:35:29 GMT""}]","2017-02-08"
