"1602.09017","Tobias Rindlisbacher","Tobias Rindlisbacher, Oscar Akerlund and Philippe de Forcrand","Sampling of General Correlators in Worm Algorithm-based Simulations","43 pages, 15 figures","Nucl. Phys. B909 (2016) 542-583","10.1016/j.nuclphysb.2016.05.026","CERN-TH-2016-056","hep-lat","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Using the complex $\phi^4$-model as a prototype for a system which is
simulated by a worm algorithm, we show that not only the charged correlator
$<\phi^{*}(x)\phi(y)>$, but also more general correlators such as
$<|\phi(x)||\phi(y)|>$ or $<\text{arg}(\phi(x))\text{arg}(\phi(y))>$, as well
as condensates like $<|\phi|>$, can be measured at every step of the Monte
Carlo evolution of the worm instead of on closed-worm configurations only. The
method generalizes straightforwardly to other systems simulated by worms, such
as spin or sigma models.
","[{""version"":""v1"",""created"":""Mon, 29 Feb 2016 16:05:20 GMT""},{""version"":""v2"",""created"":""Thu, 17 Mar 2016 11:12:41 GMT""},{""version"":""v3"",""created"":""Sun, 19 Jun 2016 07:08:43 GMT""}]","2016-08-15"
"1602.09018","Roland Diehl","Roland Diehl","New insights from cosmic gamma rays","21 pages, 12 figures. Lecture held at the Summer School on
  Experimental Nuclear Astrophysics, Santa Tecla (I), Sep 2015","Journal of Physics: Conf. Series 703 (2016) 012001","10.1088/1742-6596/703/1/012001",,"astro-ph.HE","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The measurement of gamma rays from cosmic sources at MeV energies is one of
the key tools for nuclear astrophysics, in its study of nuclear reactions and
their impacts on objects and phenomena throughout the universe. Gamma rays
trace nuclear processes most directly, as they originate from nuclear
transitions following radioactive decays or high-energy collisions with
excitation of nuclei. Additionally, the unique gamma-ray signature from the
annihilation of positrons falls into this astronomical window and is discussed
here: Cosmic positrons are often produced from beta-decays, thus also of
nuclear physics origins. The nuclear reactions leading to radioactive isotopes
occur inside stars and stellar explosions, which therefore constitute the main
objects of such studies. In recent years, both thermonuclear and core-collapse
supernova radioactivities have been measured, and complement conventional
supernova observations with measurements of their prime energy sources. The
diffuse radioactive afterglow of massive-star nucleosynthesis in gamma rays is
now being analysed towards how massive stars feed back their energy and ejecta
into interstellar gas. Large interstellar cavities and superbubbles have been
recognised to be the dominating structures where new massive-star ejecta are
injected, from 26Al gamma-ray spectroscopy. Finally, the puzzling
bulge-dominated intensity distribution of positron annihilation gamma rays is
measured in greater detail, but still not understood; a recent microquasar
flare provided evidence that such objects may be prime sources for positrons in
interstellar space, rather than distributed nucleosynthesis. We also briefly
discuss the status and prospects for astronomy with telescopes for the
nuclear-radiation energy window.
","[{""version"":""v1"",""created"":""Mon, 29 Feb 2016 16:05:23 GMT""}]","2016-07-12"
"1602.09019","Cristina Cano","Cristina Cano, Alberto Pittolo, David Malone, Lutz Lampe, Andrea M.
  Tonello, Anand Dabak","State-of-the-art in Power Line Communications: from the Applications to
  the Medium","19 pages, 12 figures. Accepted for publication, IEEE Journal on
  Selected Areas in Communications. Special Issue on Power Line Communications
  and its Integration with the Networking Ecosystem. 2016",,"10.1109/JSAC.2016.2566018",,"cs.NI","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In recent decades, power line communication has attracted considerable
attention from the research community and industry, as well as from regulatory
and standardization bodies. In this article we provide an overview of both
narrowband and broadband systems, covering potential applications, regulatory
and standardization efforts and recent research advancements in channel
characterization, physical layer performance, medium access and higher layer
specifications and evaluations. We also identify areas of current and further
study that will enable the continued success of power line communication
technology.
","[{""version"":""v1"",""created"":""Mon, 29 Feb 2016 16:06:02 GMT""}]","2016-11-18"
"1602.09020","Kirill Melnikov","Kirill Melnikov and Alexander Penin","On the light quark mass effects in Higgs boson production in gluon
  fusion","18 pages, 2 figures",,,"ALBERTA-THY-01-16, TTP16-007","hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Production of Higgs bosons at the LHC is affected by the contribution of
light quarks, that mediate the gg \to Hg transition. Although their impact is
suppressed by small Yukawa couplings, it is enhanced by large logarithms of the
ratio of the Higgs boson mass or its transverse momentum to light quark masses.
We study the origin of this enhancement, focusing on the abelian corrections to
gg \to Hg amplitudes of the form (C_F alphas L^{2})^n, where $L \in {
ln(s/mb^2), ln(p_\perp^2/mb^2) }. We show how these non-Sudakov double
logarithmic terms can be resummed to all orders in the strong coupling
constant. Interestingly, we find that the transverse momentum dependence of
these corrections is very weak due to a peculiar cancellation between different
logarithmic terms. Although the abelian part of QCD corrections is not expected
to be dominant, it can be used to estimate missing higher-order corrections to
light quark contributions to Higgs boson production at the LHC.
","[{""version"":""v1"",""created"":""Mon, 29 Feb 2016 16:06:23 GMT""}]","2016-03-01"
"1602.09021","Laura Donnay","Laura Donnay","Asymptotic dynamics of three-dimensional gravity","36 pages, 2 figures. Lecture notes prepared for the Eleventh Modave
  Summer School in Mathematical Physics, September 2015, Belgium",,,,"hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  These are the lectures notes of the course given at the Eleventh Modave
Summer School in Mathematical Physics, 2015, aimed at PhD candidates and junior
researchers in theoretical physics. We review in details the result of
Coussaert-Henneaux-van Driel showing that the asymptotic dynamics of $(2+1)$-
dimensional gravity with negative cosmological constant is described at the
classical level by Liouville theory. Boundary conditions implement the
asymptotic reduction in two steps: the first set reduces the $SL(2,\mathbb
R)\times SL(2,\mathbb R)$ Chern-Simons action, equivalent to the Einstein
action, to a non-chiral $SL(2,\mathbb R)$ Wess-Zumino-Witten model, while the
second set imposes constraints on the WZW currents that reduce further the
action to Liouville theory. We discuss the issues of considering the latter as
an effective description of the dual conformal field theory describing AdS$_3$
gravity beyond the semi-classical regime.
","[{""version"":""v1"",""created"":""Mon, 29 Feb 2016 16:07:44 GMT""}]","2016-03-01"
"1602.09022","Hubie Chen","Hubie Chen and Moritz M\""uller","The parameterized space complexity of embedding along a path","Final publication in Theory of Computing Systems. The final
  publication is available at Springer via
  http://dx.doi.org/10.1007/s00224-016-9728-7",,,,"cs.CC","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The embedding problem is to decide, given an ordered pair of structures,
whether or not there is an injective homomorphism from the first structure to
the second. We study this problem using an established perspective in
parameterized complexity theory: the universe size of the first structure is
taken to be the parameter, and we define the embedding problem relative to a
class ${\cl A}$ of structures to be the restricted version of the general
problem where the first structure must come from ${\cl A}$. We initiate a
systematic complexity study of this problem family, by considering classes
whose structures are what we call rooted path structures; these structures have
paths as Gaifman graphs. Our main theorem is a dichotomy theorem on classes of
rooted path structures.
","[{""version"":""v1"",""created"":""Mon, 29 Feb 2016 16:12:03 GMT""},{""version"":""v2"",""created"":""Fri, 6 Jan 2017 03:05:31 GMT""}]","2017-01-09"
"1602.09024","The CMS Collaboration","CMS Collaboration","Measurements of the t-tbar production cross section in lepton+jets final
  states in pp collisions at 8 TeV and ratio of 8 to 7 TeV cross sections","Replaced with the published version. Added the journal reference and
  DOI. All the figures and tables can be found at
  http://cms-results.web.cern.ch/cms-results/public-results/publications/TOP-12-006/index.html","EPJC 77 (2017) 15","10.1140/epjc/s10052-016-4504-z","CMS-TOP-12-006, CERN-EP-2016-016","hep-ex","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A measurement of the top quark pair production (t-tbar) cross section in
proton-proton collisions at the centre-of-mass energy of 8 TeV is presented
using data collected with the CMS detector at the LHC, corresponding to an
integrated luminosity of 19.6 inverse femtobarns. This analysis is performed in
the t-tbar decay channels with one isolated, high transverse momentum electron
or muon and at least four jets, at least one of which is required to be
identified as originating from hadronization of a b quark. The calibration of
the jet energy scale and the efficiency of b jet identification are determined
from data. The measured t-tbar cross section is 228.5 +/- 3.8 (stat) +/- 13.7
(syst) +/- 6.0 (lumi) pb. This measurement is compared with an analysis of 7
TeV data, corresponding to an integrated luminosity of 5.0 inverse femtobarns,
to determine the ratio of 8 TeV to 7 TeV cross sections, which is found to be
1.43 +/- 0.04 (stat) +/- 0.07 (syst) +/- 0.05 (lumi). The measurements are in
agreement with QCD predictions up to next-to-next-to-leading order.
","[{""version"":""v1"",""created"":""Mon, 29 Feb 2016 16:15:22 GMT""},{""version"":""v2"",""created"":""Sun, 22 Jan 2017 15:17:32 GMT""}]","2017-01-24"
"1602.09025","Michel Weber","Michel Weber","Criteria of Divergence Almost Everywhere in Ergodic Theory","30 pages","Zap. Nauchn. Sem. S.-Peterburg. Otdel. Mat. Inst. Steklov. (POMI)
  441 (2015), Veroyatnost i Statistika. 22, 73--118; translation in J. Math.
  Sci. (N.Y.) 219 (2016), no. 5, 651--682",,,"math.DS","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this expository paper, we survey nowadays classical tools or criteria used
in problems of convergence everywhere to build counterexamples: the Stein
continuity principle, Bourgain's entropy criteria and Kakutani-Rochlin lemma,
most classical device for these questions in ergodic theory. First, we state a
$L^1$-version of the continuity principle and give an example of its usefulness
by applying it to some famous problem on divergence almost everywhere of
Fourier series. Next we particularly focus on entropy criteria in $L^p$, $2\le
p\le \infty$ and provide detailed proofs. We also study the link between the
associated maximal operators and the canonical Gaussian process on $L^2$. We
further study the corresponding criterion in $L^p$, $1<p<2$ using properties of
$p$-stable processes. Finally we consider Kakutani-Rochlin's lemma, one of the
most frequently used tool in ergodic theory, by stating and proving a criterion
for a.e. divergence of weighted ergodic averages.
","[{""version"":""v1"",""created"":""Mon, 29 Feb 2016 16:17:28 GMT""}]","2017-07-20"
"1602.09026","Wanzheng Hu","W. Hu, S. Catalano, M. Gibert, J.-M. Triscone, and A. Cavalleri","Broadband THz spectroscopy of the insulator-metal transition driven by
  coherent lattice deformation at the SmNiO3/LaAlO3 interface","12 pages, 3 figures","Phys. Rev. B 93, 161107 (2016)","10.1103/PhysRevB.93.161107",,"cond-mat.str-el","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We investigate the non-equilibrium insulator-metal transition driven in a
SmNiO3 thin film by coherent optical excitation of the LaAlO3 substrate
lattice. By probing the transient optical properties over a broad frequency
range (100 - 800 cm^-1), we analyze both the time dependent metallic plasma and
the infrared optical phonon line shapes. We show that the light-induced
metallic phase in SmNiO3 has the same carrier density as the equilibrium
metallic phase. We also report that the LaAlO3 substrate acts as a transducer
only at the earlier time delays, as the vibrations are driven coherently. No
long-lived structural rearrangement takes place in the substrate. Finally, we
show that the transient insulator-metal transition occurs both below and above
the N\'eel temperature. We conclude that the supersonic melting of magnetic
order measured with ultrafast x-rays is not the driving force of the formation
of the metallic phase. We posit that the insulator metal transition may origin
from the rearrangement of ordered charges at the interface propagating into the
film.
","[{""version"":""v1"",""created"":""Mon, 29 Feb 2016 16:18:18 GMT""}]","2016-04-20"
"1602.09027","Michael J. Schlosser","Michael J. Schlosser and Meesue Yoo","Elliptic Hypergeometric Summations by Taylor Series Expansion and
  Interpolation",,"SIGMA 12 (2016), 039, 21 pages","10.3842/SIGMA.2016.039",,"math.CA math.CO math.QA","http://creativecommons.org/licenses/by-sa/4.0/","  We use elliptic Taylor series expansions and interpolation to deduce a number
of summations for elliptic hypergeometric series. We extend to the well-poised
elliptic case results that in the $q$-case have previously been obtained by
Cooper and by Ismail and Stanton. We also provide identities involving S.
Bhargava's cubic theta functions.
","[{""version"":""v1"",""created"":""Mon, 29 Feb 2016 16:22:44 GMT""},{""version"":""v2"",""created"":""Tue, 19 Apr 2016 04:27:06 GMT""}]","2016-04-20"
"1602.09028","Hamdi Joudeh","Hamdi Joudeh and Bruno Clerckx","Sum-Rate Maximization for Linearly Precoded Downlink Multiuser MISO
  Systems with Partial CSIT: A Rate-Splitting Approach","accepted to IEEE Transactions on Communications",,,,"cs.IT math.IT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  This paper considers the Sum-Rate (SR) maximization problem in downlink
MU-MISO systems under imperfect Channel State Information at the Transmitter
(CSIT). Contrary to existing works, we consider a rather unorthodox
transmission scheme. In particular, the message intended to one of the users is
split into two parts: a common part which can be recovered by all users, and a
private part recovered by the corresponding user. On the other hand, the rest
of users receive their information through private messages. This
Rate-Splitting (RS) approach was shown to boost the achievable Degrees of
Freedom (DoF) when CSIT errors decay with increased SNR. In this work, the RS
strategy is married with linear precoder design and optimization techniques to
achieve a maximized Ergodic SR (ESR) performance over the entire range of SNRs.
Precoders are designed based on partial CSIT knowledge by solving a stochastic
rate optimization problem using means of Sample Average Approximation (SAA)
coupled with the Weighted Minimum Mean Square Error (WMMSE) approach. Numerical
results show that in addition to the ESR gains, the benefits of RS also include
relaxed CSIT quality requirements and enhanced achievable rate regions compared
to conventional transmission with NoRS.
","[{""version"":""v1"",""created"":""Mon, 29 Feb 2016 16:23:31 GMT""},{""version"":""v2"",""created"":""Wed, 24 Aug 2016 18:17:15 GMT""}]","2016-08-25"
